Epoch 206: duration loss = 0.345 | prior loss = 1.268 | diffusion loss = 0.110
Epoch 207: duration loss = 0.344 | prior loss = 1.267 | diffusion loss = 0.114
Epoch 208: duration loss = 0.345 | prior loss = 1.267 | diffusion loss = 0.109
Epoch 209: duration loss = 0.344 | prior loss = 1.267 | diffusion loss = 0.113
Epoch 210: duration loss = 0.343 | prior loss = 1.267 | diffusion loss = 0.115
Epoch 211: duration loss = 0.344 | prior loss = 1.267 | diffusion loss = 0.109
Epoch 212: duration loss = 0.344 | prior loss = 1.267 | diffusion loss = 0.110
Epoch 213: duration loss = 0.344 | prior loss = 1.266 | diffusion loss = 0.109
Epoch 214: duration loss = 0.343 | prior loss = 1.266 | diffusion loss = 0.113
Epoch 215: duration loss = 0.343 | prior loss = 1.267 | diffusion loss = 0.111
Epoch 216: duration loss = 0.343 | prior loss = 1.265 | diffusion loss = 0.113
Epoch 217: duration loss = 0.343 | prior loss = 1.266 | diffusion loss = 0.111
Epoch 218: duration loss = 0.343 | prior loss = 1.265 | diffusion loss = 0.112
Epoch 219: duration loss = 0.343 | prior loss = 1.266 | diffusion loss = 0.110
Epoch 220: duration loss = 0.343 | prior loss = 1.266 | diffusion loss = 0.111
Epoch 221: duration loss = 0.343 | prior loss = 1.265 | diffusion loss = 0.112
Epoch 222: duration loss = 0.342 | prior loss = 1.265 | diffusion loss = 0.110
Epoch 223: duration loss = 0.342 | prior loss = 1.265 | diffusion loss = 0.111
Epoch 224: duration loss = 0.342 | prior loss = 1.265 | diffusion loss = 0.111
Epoch 225: duration loss = 0.342 | prior loss = 1.264 | diffusion loss = 0.108
Epoch 226: duration loss = 0.341 | prior loss = 1.264 | diffusion loss = 0.113
Epoch 227: duration loss = 0.342 | prior loss = 1.264 | diffusion loss = 0.115
Epoch 228: duration loss = 0.341 | prior loss = 1.264 | diffusion loss = 0.115
Epoch 229: duration loss = 0.341 | prior loss = 1.264 | diffusion loss = 0.113
Epoch 230: duration loss = 0.341 | prior loss = 1.264 | diffusion loss = 0.112
Epoch 231: duration loss = 0.341 | prior loss = 1.264 | diffusion loss = 0.112
Epoch 232: duration loss = 0.341 | prior loss = 1.263 | diffusion loss = 0.111
Epoch 233: duration loss = 0.340 | prior loss = 1.263 | diffusion loss = 0.112
Epoch 234: duration loss = 0.340 | prior loss = 1.263 | diffusion loss = 0.109
Epoch 235: duration loss = 0.340 | prior loss = 1.262 | diffusion loss = 0.111
Epoch 236: duration loss = 0.340 | prior loss = 1.263 | diffusion loss = 0.110
Epoch 237: duration loss = 0.340 | prior loss = 1.263 | diffusion loss = 0.113
Epoch 238: duration loss = 0.340 | prior loss = 1.262 | diffusion loss = 0.111
Epoch 239: duration loss = 0.340 | prior loss = 1.262 | diffusion loss = 0.109
Epoch 240: duration loss = 0.340 | prior loss = 1.263 | diffusion loss = 0.106
Epoch 241: duration loss = 0.339 | prior loss = 1.261 | diffusion loss = 0.112
Epoch 242: duration loss = 0.340 | prior loss = 1.262 | diffusion loss = 0.110
Epoch 243: duration loss = 0.339 | prior loss = 1.261 | diffusion loss = 0.112
Epoch 244: duration loss = 0.340 | prior loss = 1.262 | diffusion loss = 0.116
Epoch 245: duration loss = 0.339 | prior loss = 1.262 | diffusion loss = 0.111
Epoch 246: duration loss = 0.339 | prior loss = 1.261 | diffusion loss = 0.110
Epoch 247: duration loss = 0.339 | prior loss = 1.261 | diffusion loss = 0.112
Epoch 248: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.109
Epoch 249: duration loss = 0.338 | prior loss = 1.261 | diffusion loss = 0.112
Epoch 250: duration loss = 0.339 | prior loss = 1.260 | diffusion loss = 0.111
Epoch 251: duration loss = 0.339 | prior loss = 1.262 | diffusion loss = 0.113
Epoch 252: duration loss = 0.337 | prior loss = 1.261 | diffusion loss = 0.112
Epoch 253: duration loss = 0.337 | prior loss = 1.260 | diffusion loss = 0.113
Epoch 254: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.112
Epoch 255: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.109
Epoch 256: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.111
Epoch 257: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.110
Epoch 258: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.111
Epoch 259: duration loss = 0.338 | prior loss = 1.260 | diffusion loss = 0.110
Epoch 260: duration loss = 0.337 | prior loss = 1.259 | diffusion loss = 0.111
Epoch 261: duration loss = 0.338 | prior loss = 1.259 | diffusion loss = 0.115
Epoch 262: duration loss = 0.337 | prior loss = 1.259 | diffusion loss = 0.109
Epoch 263: duration loss = 0.336 | prior loss = 1.259 | diffusion loss = 0.110
Epoch 264: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.112
Epoch 265: duration loss = 0.338 | prior loss = 1.258 | diffusion loss = 0.111
Epoch 266: duration loss = 0.338 | prior loss = 1.258 | diffusion loss = 0.109
Epoch 267: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.112
Epoch 268: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.112
Epoch 269: duration loss = 0.338 | prior loss = 1.258 | diffusion loss = 0.109
Epoch 270: duration loss = 0.338 | prior loss = 1.259 | diffusion loss = 0.115
Epoch 271: duration loss = 0.338 | prior loss = 1.259 | diffusion loss = 0.112
Epoch 272: duration loss = 0.338 | prior loss = 1.258 | diffusion loss = 0.111
Epoch 273: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.111
Epoch 274: duration loss = 0.337 | prior loss = 1.257 | diffusion loss = 0.110
Epoch 275: duration loss = 0.337 | prior loss = 1.257 | diffusion loss = 0.110
Epoch 276: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.111
Epoch 277: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.113
Epoch 278: duration loss = 0.336 | prior loss = 1.257 | diffusion loss = 0.111
Epoch 279: duration loss = 0.337 | prior loss = 1.258 | diffusion loss = 0.112
Epoch 280: duration loss = 0.337 | prior loss = 1.257 | diffusion loss = 0.110
Epoch 281: duration loss = 0.337 | prior loss = 1.257 | diffusion loss = 0.110
Epoch 282: duration loss = 0.336 | prior loss = 1.257 | diffusion loss = 0.111
Epoch 283: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.113
Epoch 284: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.111
Epoch 285: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.111
Epoch 286: duration loss = 0.337 | prior loss = 1.256 | diffusion loss = 0.111
Epoch 287: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.111
Epoch 288: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.109
Epoch 289: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.110
Epoch 290: duration loss = 0.335 | prior loss = 1.256 | diffusion loss = 0.111
Epoch 291: duration loss = 0.336 | prior loss = 1.256 | diffusion loss = 0.108
Epoch 292: duration loss = 0.335 | prior loss = 1.255 | diffusion loss = 0.109
Epoch 293: duration loss = 0.335 | prior loss = 1.255 | diffusion loss = 0.110
Epoch 294: duration loss = 0.334 | prior loss = 1.255 | diffusion loss = 0.111
Epoch 295: duration loss = 0.335 | prior loss = 1.254 | diffusion loss = 0.111
Epoch 296: duration loss = 0.334 | prior loss = 1.255 | diffusion loss = 0.109
